,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,10.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,12.0,12.0,12.0,10.0,10.0,10.0,11.0,11.0,10.0,13.0,12.0,11.0,13.0,11.0,11.0,12.0,11.0,11.0,10.0,10.0,12.0,10.0,12.0,13.0,10.0,10.0,10.0,12.0,11.0,11.0,10.0,12.0,11.0,11.0,12.0,10.0,11.0,14.0,10.0,10.0,11.0,10.0,11.0,12.0,11.0,11.0,10.0,12.0,10.0,11.0,11.0
1,12.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,10.0,11.0,12.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,11.0,12.0,11.0,13.0,10.0,12.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,14.0,10.0,13.0,10.0,10.0,13.0,12.0,10.0,12.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,12.0,10.0,11.0,11.0,10.0,13.0,12.0,10.0,11.0,11.0,11.0
2,12.0,11.0,11.0,12.0,10.0,13.0,11.0,11.0,12.0,10.0,11.0,11.0,11.0,11.0,12.0,11.0,10.0,11.0,11.0,10.0,11.0,13.0,11.0,10.0,11.0,12.0,12.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,14.0,12.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,10.0,11.0,12.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,10.0,11.0,12.0,11.0,12.0
3,12.0,11.0,12.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,10.0,11.0,14.0,10.0,11.0,12.0,10.0,11.0,10.0,11.0,12.0,12.0,11.0,10.0,10.0,10.0,10.0,11.0,14.0,11.0,11.0,13.0,10.0,10.0,11.0,10.0,13.0,10.0,10.0,14.0,12.0,10.0,11.0,13.0,10.0,10.0,11.0,12.0,12.0,11.0,10.0,10.0,11.0,11.0,10.0,13.0,11.0,11.0,11.0
4,13.0,11.0,10.0,10.0,15.0,11.0,11.0,11.0,12.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,14.0,12.0,11.0,11.0,11.0,13.0,10.0,10.0,11.0,11.0,10.0,12.0,11.0,11.0,11.0,13.0,10.0,10.0,11.0,11.0,11.0,13.0,11.0,13.0,10.0,10.0,11.0,11.0,12.0,12.0,11.0,10.0,10.0,11.0,14.0,10.0,10.0,11.0,11.0,10.0,12.0,10.0
5,12.0,10.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,12.0,11.0,10.0,10.0,10.0,10.0,11.0,12.0,11.0,10.0,11.0,11.0,10.0,11.0,10.0,12.0,15.0,10.0,12.0,11.0,10.0,10.0,11.0,12.0,12.0,10.0,10.0,11.0,12.0,11.0,12.0,13.0,11.0,12.0,11.0,11.0,11.0,10.0,11.0,14.0,13.0,11.0,12.0,10.0,10.0,12.0,10.0,12.0
6,12.0,11.0,11.0,10.0,11.0,10.0,12.0,10.0,10.0,10.0,12.0,10.0,12.0,10.0,11.0,12.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,11.0,12.0,10.0,10.0,11.0,10.0,11.0,10.0,12.0,10.0,11.0,11.0,11.0,10.0,11.0,11.0,12.0,11.0,10.0,10.0,12.0,11.0,11.0,12.0,10.0,11.0,14.0,10.0,11.0,11.0,11.0
7,12.0,11.0,12.0,12.0,10.0,11.0,12.0,11.0,12.0,11.0,13.0,11.0,10.0,12.0,10.0,11.0,12.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,11.0,14.0,10.0,11.0,11.0,10.0,12.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,13.0,10.0,10.0,11.0,13.0,11.0,11.0
8,11.0,10.0,11.0,11.0,10.0,10.0,12.0,12.0,12.0,11.0,10.0,10.0,12.0,11.0,11.0,11.0,12.0,11.0,13.0,10.0,10.0,11.0,11.0,11.0,10.0,13.0,10.0,12.0,11.0,14.0,12.0,10.0,11.0,10.0,11.0,10.0,10.0,12.0,13.0,10.0,10.0,11.0,12.0,11.0,13.0,10.0,11.0,10.0,12.0,10.0,11.0,13.0,12.0,10.0,10.0,10.0,10.0,10.0,13.0,11.0
9,10.0,12.0,11.0,10.0,10.0,11.0,13.0,13.0,10.0,10.0,11.0,10.0,11.0,11.0,14.0,10.0,13.0,10.0,11.0,12.0,10.0,10.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,10.0,11.0,13.0,10.0,10.0,10.0,11.0,10.0,11.0,13.0,13.0,10.0,11.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0
10,11.0,11.0,10.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,11.0,10.0,12.0,11.0,11.0,12.0,10.0,11.0,11.0,10.0,10.0,11.0,12.0,11.0,11.0,11.0,10.0,13.0,10.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,11.0,12.0,11.0,10.0,12.0,11.0,12.0,14.0,10.0,10.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,11.0,12.0,12.0,11.0
11,12.0,11.0,11.0,10.0,12.0,11.0,10.0,10.0,13.0,10.0,10.0,14.0,13.0,12.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,12.0,11.0,10.0,10.0,11.0,10.0,11.0,13.0,11.0,10.0,12.0,14.0,11.0,11.0,10.0,10.0,12.0,11.0,13.0,13.0,11.0,10.0,10.0,11.0,10.0,11.0,12.0,10.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0
12,11.0,10.0,11.0,11.0,12.0,10.0,14.0,10.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,10.0,11.0,12.0,10.0,13.0,11.0,11.0,12.0,10.0,11.0,10.0,13.0,11.0,10.0,10.0,13.0,11.0,12.0,12.0,10.0,10.0,11.0,11.0,11.0,10.0,11.0,11.0,10.0,10.0,10.0,12.0,11.0,12.0,12.0,10.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,10.0,10.0,11.0
13,12.0,10.0,13.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,12.0,12.0,11.0,10.0,13.0,10.0,11.0,14.0,11.0,12.0,11.0,10.0,10.0,10.0,12.0,12.0,13.0,10.0,11.0,11.0,14.0,12.0,11.0,10.0,10.0,12.0,11.0,11.0,10.0,10.0,10.0,12.0,11.0,10.0,12.0,11.0,11.0,12.0,10.0,11.0,10.0,10.0,13.0,12.0,11.0,10.0,11.0
14,14.0,10.0,12.0,10.0,11.0,13.0,10.0,11.0,10.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,11.0,10.0,10.0,12.0,13.0,12.0,11.0,12.0,11.0,11.0,11.0,13.0,12.0,11.0,12.0,11.0,13.0,12.0,11.0,10.0,11.0,11.0,12.0,11.0,10.0,13.0,11.0,11.0,11.0,11.0,12.0,12.0,10.0,11.0,12.0,10.0,11.0,13.0
15,11.0,10.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,13.0,10.0,10.0,11.0,11.0,12.0,10.0,12.0,12.0,10.0,11.0,12.0,11.0,10.0,11.0,10.0,11.0,12.0,10.0,10.0,10.0,11.0,10.0,12.0,11.0,11.0,10.0,11.0,10.0,13.0,10.0,10.0,11.0,11.0,10.0,10.0,12.0,11.0,10.0,10.0,11.0,10.0,10.0,14.0,12.0,11.0,10.0,13.0,10.0
16,10.0,11.0,11.0,10.0,12.0,11.0,12.0,10.0,10.0,10.0,10.0,12.0,11.0,11.0,12.0,12.0,11.0,13.0,11.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,12.0,11.0,10.0,11.0,10.0,11.0,14.0,10.0,10.0,11.0,11.0,10.0,12.0,13.0,11.0,11.0,11.0,10.0,11.0,12.0,12.0,13.0,16.0,10.0,12.0,10.0,13.0,10.0,11.0,12.0,10.0,10.0
