,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,11,10,10,10,10,11,10,11,11,10,12,10,10,10,13,11,10,11,10,11,14,11,11,10,10,11,10,10,11,10,10,14,10,10,12,11,11,12,11,13,11,11,10,10,11,12,10,10,13,11,10,10,11,13,11,11,10,10,11,10
1,10,10,12,10,11,11,10,11,10,12,11,11,10,11,13,11,10,10,10,11,11,12,10,11,10,11,11,12,10,10,10,10,10,10,10,11,13,11,11,11,11,11,10,10,11,11,11,10,10,11,10,11,11,11,14,11,10,12,11,11
2,10,10,10,10,11,11,10,10,12,11,13,10,10,10,12,11,13,10,10,11,12,11,10,10,11,10,11,10,11,13,10,11,12,10,10,11,11,10,10,10,12,11,10,10,10,10,11,11,10,11,12,11,12,10,11,12,12,12,13,11
3,12,10,11,10,11,12,13,10,10,10,11,12,10,13,12,10,10,10,11,10,11,11,10,10,10,10,16,12,11,10,11,12,11,10,12,11,11,10,12,10,10,10,11,11,12,13,11,11,10,14,10,13,11,10,10,11,10,11,12,12
4,11,12,11,10,11,11,11,11,11,12,12,10,10,11,11,10,12,11,10,11,11,13,11,12,10,11,10,11,10,11,12,13,10,11,10,11,11,10,10,11,12,12,10,10,11,10,11,12,11,10,10,10,12,11,11,10,12,11,12,10
5,11,11,12,11,11,10,13,10,10,10,11,11,10,11,11,11,11,11,11,10,10,12,11,12,13,10,10,10,10,12,10,11,11,11,12,10,10,12,11,10,12,12,10,12,11,10,12,10,11,10,10,10,12,11,11,11,12,12,12,12
6,11,11,10,10,10,10,11,10,12,10,10,13,11,10,11,11,10,11,10,10,10,10,10,11,11,13,11,10,11,11,10,12,13,11,11,13,10,11,10,12,10,12,14,11,11,11,10,10,11,10,14,11,10,11,13,12,10,11,12,11
7,11,10,10,11,10,12,10,12,10,11,11,10,13,11,12,13,11,10,11,10,11,12,10,11,11,12,10,13,10,10,10,11,11,10,12,13,10,11,11,11,12,10,10,13,12,10,12,10,11,10,10,10,12,12,10,10,10,11,11,10
8,11,10,10,12,12,10,11,11,10,12,11,11,14,10,11,10,11,10,10,13,10,11,10,10,11,11,10,10,11,11,10,10,10,11,12,12,10,10,11,11,11,10,11,10,10,13,11,11,10,10,11,11,11,11,11,10,10,11,10,10
9,10,13,11,11,11,10,14,12,12,10,12,12,11,11,12,10,12,11,10,10,10,11,11,14,10,11,10,10,10,10,12,10,11,11,11,10,13,11,11,11,11,10,10,10,11,11,10,10,10,10,12,12,12,10,10,12,12,10,11,13
10,10,13,11,10,11,12,11,10,10,10,14,10,11,12,12,10,13,10,12,10,10,11,11,10,11,10,10,10,12,11,12,10,11,12,10,10,10,11,10,11,10,10,11,13,10,12,10,11,10,10,10,11,11,12,12,10,12,10,11,12
11,12,10,11,10,10,10,13,11,10,13,11,11,12,11,12,10,12,10,12,11,10,13,10,12,11,12,10,11,11,10,10,11,11,11,10,11,13,12,11,11,10,11,10,11,11,10,11,11,13,10,10,12,12,11,12,12,12,10,10,11
12,12,10,10,11,10,10,11,12,11,11,12,12,10,10,11,10,11,10,12,11,13,11,10,10,10,11,10,11,11,11,14,13,12,11,12,10,10,10,11,10,11,11,10,12,11,10,12,11,10,10,10,10,11,12,10,11,12,11,11,12
13,12,11,10,11,11,11,11,12,12,10,12,13,11,11,10,12,11,10,13,11,12,10,11,11,11,11,10,10,12,10,10,11,10,11,10,10,12,11,13,11,11,12,11,10,10,13,14,12,11,12,11,10,11,11,13,10,10,12,11,13
14,10,10,12,10,12,12,12,11,10,10,12,10,12,11,12,11,12,15,11,10,10,11,11,11,12,10,11,11,12,11,11,12,11,10,10,10,11,10,11,11,11,10,13,12,10,10,10,12,11,10,12,11,11,11,11,11,10,11,10,11
15,11,10,10,10,11,11,10,14,10,12,10,10,10,14,11,12,13,10,11,12,11,11,10,10,12,11,10,10,11,10,11,10,13,11,11,11,10,11,12,11,11,12,11,11,11,11,10,11,10,11,10,10,11,11,11,10,11,11,11,11
16,11,12,10,11,10,11,10,10,11,12,14,11,11,10,10,12,12,11,12,10,10,11,10,12,12,10,10,10,13,12,10,13,10,11,11,11,12,11,14,10,12,11,10,10,11,10,10,11,13,11,12,11,11,13,11,11,11,10,11,12
17,12,10,11,12,12,10,14,10,10,10,10,11,10,12,11,13,12,12,11,11,11,10,10,11,10,10,11,10,12,10,10,13,13,11,12,10,11,12,10,11,12,11,11,12,12,13,12,10,10,12,11,11,12,10,12,10,12,12,12,12
18,12,11,12,11,12,10,11,11,11,12,12,10,11,11,10,10,11,13,11,13,10,12,10,12,11,13,12,12,11,11,10,10,11,10,10,11,10,11,10,10,11,10,12,11,10,12,12,14,10,10,11,10,11,11,10,13,10,12,13,12
19,10,10,10,11,12,11,14,11,11,13,11,12,10,10,11,11,12,12,10,11,11,12,11,10,11,12,11,12,11,11,10,10,11,11,13,10,10,10,12,11,12,14,11,10,12,12,10,11,14,11,10,10,10,10,11,12,11,12,13,11
20,10,11,11,10,12,12,11,11,11,12,12,10,10,11,11,13,12,10,10,10,11,12,10,10,11,10,12,12,12,10,11,10,12,10,12,11,12,11,11,10,10,11,12,10,11,10,10,10,11,11,12,10,10,11,12,11,11,10,11,11
21,10,10,11,12,12,10,10,12,10,11,11,10,10,11,11,11,10,11,10,11,12,12,10,10,10,11,11,10,13,13,11,12,11,11,12,11,12,12,12,10,10,11,10,12,10,11,12,11,10,12,12,11,13,14,14,13,14,10,10,10
22,11,12,11,10,11,10,11,12,12,10,11,12,10,10,10,10,10,11,10,11,10,11,10,11,10,12,11,13,10,12,12,11,10,11,10,11,10,12,10,12,10,11,10,12,11,12,11,11,11,10,13,13,11,14,12,12,10,10,13,11
